place,link,rating,city,category,fee,alamat,deskripsi
Kampung Wisata Taman Lele Semarang,https://www.google.com/maps/place/Kampung+Wisata+Taman+Lele+Semarang/data=!4m7!3m6!1s0x2e708ab40f6309fb:0x918cf5a7b742181c!8m2!3d-6.985905!4d110.3456323!16s%2Fg%2F11h1v27k4!19sChIJ-wljD7SKcC4RHBhCt6f1jJE?authuser=0&hl=id&rclk=1,"4,20",Semarang,Alam,8000,"Jl. Walisongo No.KM, RW.10, Tambakaji, Kec. Ngaliyan, Kota Semarang, Jawa Tengah 50185, Indonesia",Kampung Wisata Taman Lele Semarang
Lisin gedongsongo,https://www.google.com/maps/place/Lisin+gedongsongo/data=!4m7!3m6!1s0x2e70874ef3f95a73:0x5331ed5ca2e4242a!8m2!3d-7.2099356!4d110.3420868!16s%2Fm%2F051_nv4!19sChIJc1r5806HcC4RKiTkolztMVM?authuser=0&hl=id&rclk=1,"4,60",Semarang,Budaya,15000,"Jl. Ke Candi Gedong Songo, Krajan, Banyukuning, Bandungan, Kabupaten Semarang, Jawa Tengah 50614, Indonesia",Gedong Songo Temple
Taman Indonesia Kaya,https://www.google.com/maps/place/Taman+Indonesia+Kaya/data=!4m7!3m6!1s0x2e708b5dab77ecf1:0x3435c200ac0aa44a!8m2!3d-6.9923897!4d110.4196516!16s%2Fg%2F11h77pq5z0!19sChIJ8ex3q12LcC4RSqQKrADCNTQ?authuser=0&hl=id&rclk=1,"4,60",Semarang,Healing,0,"Jl. Menteri Supeno No.11 A, Mugassari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50249, Indonesia",Indonesia Kaya Park
Museum Ranggawarsita,https://www.google.com/maps/place/Museum+Ranggawarsita/data=!4m7!3m6!1s0x2e708b28c822d40d:0x67f776cdae733260!8m2!3d-6.9854414!4d110.3839054!16s%2Fg%2F1tcvlpws!19sChIJDdQiyCiLcC4RYDJzrs1292c?authuser=0&hl=id&rclk=1,"4,50",Semarang,Sejarah,4000,"Jl. Abdulrahman Saleh No.1, Kalibanteng Kidul, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149, Indonesia",Museum Ranggawarsita
Banjir Kanal Barat Semarang,https://www.google.com/maps/place/Banjir+Kanal+Barat+Semarang/data=!4m7!3m6!1s0x2e708b38a930f7f7:0x9a0b64c8314339f6!8m2!3d-6.9917066!4d110.4020435!16s%2Fg%2F11cmscbw6l!19sChIJ9_cwqTiLcC4R9jlDMchkC5o?authuser=0&hl=id&rclk=1,"4,50",Semarang,Alam,10000,"Jl. Gedung Batu Tim. No.203 G, Ngemplak Simongan, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148, Indonesia",Banjir Kanal Barat
Umbul Sidomukti,https://www.google.com/maps/place/Umbul+Sidomukti/data=!4m7!3m6!1s0x2e70871c6fdc3481:0xdb78bfcef26cb6b6!8m2!3d-7.1945903!4d110.3733583!16s%2Fg%2F11g8_133r0!19sChIJgTTcbxyHcC4RtrZs8s6_eNs?authuser=0&hl=id&rclk=1,"4,60",Semarang,Alam,10000,"Umbul Sidomukti, Manggung, Jimbaran, Bandungan, Kabupaten Semarang, Jawa Tengah 50661, Indonesia",Umbul Sidomukti
Alam Wana Wisata Penggaron ꦮꦤꦮꦶꦱꦠꦥꦼꦔ꧀ꦒꦫꦺꦴꦤ꧀,https://www.google.com/maps/place/Wisata+Alam+Wana+Wisata+Penggaron+%EA%A6%AE%EA%A6%A4%EA%A6%AE%EA%A6%B6%EA%A6%B1%EA%A6%A0%EA%A6%A5%EA%A6%BC%EA%A6%94%EA%A7%80%EA%A6%92%EA%A6%AB%EA%A6%BA%EA%A6%B4%EA%A6%A4%EA%A7%80/data=!4m7!3m6!1s0x2e70f4af9867e327:0x61b48960505b716e!8m2!3d-7.1157969!4d110.4217966!16s%2Fg%2F1hm5_cb_v!19sChIJJ-NnmK_0cC4RbnFbUGCJtGE?authuser=0&hl=id&rclk=1,"4,10",Semarang,Alam,3000,,
Taman Srigunting,https://www.google.com/maps/place/Taman+Srigunting/data=!4m7!3m6!1s0x2e70f3598cf81095:0x97093fd84b6a940e!8m2!3d-6.9681728!4d110.4278262!16s%2Fg%2F11g1sy7hc1!19sChIJlRD4jFnzcC4RDpRqS9g_CZc?authuser=0&hl=id&rclk=1,"4,60",Semarang,Healing,0,"2CJH+P4P, Tanjung Mas, Semarang Utara, Semarang City, Central Java 50174, Indonesia",Srigunting Park
Thematic Kampung Jawi,https://www.google.com/maps/place/Thematic+Kampung+Jawi/data=!4m7!3m6!1s0x2e708bad52967f5b:0xb796b648aa51c4ee!8m2!3d-7.0290974!4d110.3775382!16s%2Fg%2F11g6xh1pgj!19sChIJW3-WUq2LcC4R7sRRqki2lrc?authuser=0&hl=id&rclk=1,"4,60",Semarang,Budaya,3500,"Jl. Kalialang Lama, RT.02/RW.01, Sukorejo, Kec. Gn. Pati, Kota Semarang, Jawa Tengah 50221, Indonesia",Thematic Attraction Kampung Jawi
Saloka Theme Park,https://www.google.com/maps/place/Saloka+Theme+Park/data=!4m7!3m6!1s0x2e708265970e9af7:0xa572723ddf2098e6!8m2!3d-7.280767!4d110.459024!16s%2Fg%2F1hm219vr1!19sChIJ95oOl2WCcC4R5pgg3z1ycqU?authuser=0&hl=id&rclk=1,"4,50",Semarang,Wisata Rekreasi,120000,"Jl. Fatmawati No.154, Gumuksari, Lopait, Kec. Tuntang, Kabupaten Semarang, Jawa Tengah 50773, Indonesia",Saloka Theme Park
Obyek Wisata Goa Kreo,https://www.google.com/maps/place/Obyek+Wisata+Goa+Kreo/data=!4m7!3m6!1s0x2e708a3f2cf58ddb:0x2e396176ca27c669!8m2!3d-7.0388104!4d110.3509462!16s%2Fg%2F12b02lq9g!19sChIJ2431LD-KcC4RacYnynZhOS4?authuser=0&hl=id&rclk=1,"4,30",Semarang,Alam,10000,"Jl. Raya Goa Kreo, Kandri, Kec. Gn. Pati, Kota Semarang, Jawa Tengah 50222, Indonesia",Obyek Wisata Goa Kreo
Taman Diponegoro,https://www.google.com/maps/place/Taman+Diponegoro/data=!4m7!3m6!1s0x2e708b7aef06efe9:0xe77883a364428496!8m2!3d-7.0077127!4d110.4166632!16s%2Fg%2F11clydt2gk!19sChIJ6e8G73qLcC4RloRCZKODeOc?authuser=0&hl=id&rclk=1,"4,50",Semarang,Healing,0,"Taman Diponegoro, Kota Semarang, Jawa Tengah 50231, Indonesia",Taman Diponegoro
Kampung Batik,https://www.google.com/maps/place/Kampung+Batik/data=!4m7!3m6!1s0x2e70f35a6fffffff:0x7a79d96ff0941faf!8m2!3d-6.9691163!4d110.4311451!16s%2Fg%2F11s5bz9lqq!19sChIJ____b1rzcC4Rrx-U8G_ZeXo?authuser=0&hl=id&rclk=1,"4,50",Semarang,Budaya,5000,"Jl. Batik No.698A, Rejomulyo, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50227, Indonesia",Kampung Batik Gedong Semarang
Eling Bening,https://www.google.com/maps/place/Eling+Bening/data=!4m7!3m6!1s0x2e7083d906d7a0e3:0xa7483e6618289f54!8m2!3d-7.2523599!4d110.4249268!16s%2Fg%2F11cm41xqhs!19sChIJ46DXBtmDcC4RVJ8oGGY-SKc?authuser=0&hl=id&rclk=1,"4,20",Semarang,Alam,20000,"Jl. Sarjono, Bawen, Kec. Bawen, Kabupaten Semarang, Jawa Tengah 50661, Indonesia",Eling Bening
Mangrove EduPark,https://www.google.com/maps/place/Mangrove+EduPark/data=!4m7!3m6!1s0x2e70f515dad26c07:0xc244cd64ee8298bc!8m2!3d-6.9583015!4d110.3604803!16s%2Fg%2F11c45nw4xx!19sChIJB2zS2hX1cC4RvJiC7mTNRMI?authuser=0&hl=id&rclk=1,"4,00",Semarang,Alam,5000,"29R6+M5H, Tugurejo, Tugu, Semarang City, Central Java 50182, Indonesia",Mangrove EduPark
Silayur Park Semarang,https://www.google.com/maps/place/Silayur+Park+Semarang/data=!4m7!3m6!1s0x2e708b24cb60f771:0x7a651ba416a2329b!8m2!3d-7.006652!4d110.339185!16s%2Fg%2F11ptr7h756!19sChIJcfdgyySLcC4RmzKiFqQbZXo?authuser=0&hl=id&rclk=1,"4,40",Semarang,Wisata Rekreasi,20000,"Jalan Prof Dr Hamka, Kel Ngaliyan, Kec Semarang Barat, Ngaliyan, Semarang City, Central Java 50189, Indonesia",Silayur Park
Taman Tabanas Semarang,https://www.google.com/maps/place/Taman+Tabanas+Semarang/data=!4m7!3m6!1s0x2e708bf48af86f7f:0x8e19cfaf93303d94!8m2!3d-7.0388032!4d110.4215576!16s%2Fg%2F11g8yccpzt!19sChIJf2_4ivSLcC4RlD0wk6_PGY4?authuser=0&hl=id&rclk=1,"4,40",Semarang,Healing,0,"Jl. Setia Budi No.12, Ngesrep, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50261, Indonesia",Tabanas Park Semarang
Ayanaz Gedongsongo,https://www.google.com/maps/place/Ayanaz+Gedongsongo/data=!4m7!3m6!1s0x2e7087f13da7f053:0xc13f5453211dbff1!8m2!3d-7.2086629!4d110.341212!16s%2Fg%2F11f5v8dzwg!19sChIJU_CnPfGHcC4R8b8dIVNUP8E?authuser=0&hl=id&rclk=1,"4,40",Semarang,Budaya,25000,"Candi Gedong Songo, Krajan, Banyukuning, Bandungan, Kabupaten Semarang, Jawa Tengah 50614, Indonesia",Ayanaz Gedongsongo
Pantai Baruna,https://www.google.com/maps/place/Pantai+Baruna/data=!4m7!3m6!1s0x2e70f4ee9d4e8aa3:0x61019e1e9b838262!8m2!3d-6.9452716!4d110.3998733!16s%2Fg%2F11c4bdfh4m!19sChIJo4pOne70cC4RYoKDmx6eAWE?authuser=0&hl=id&rclk=1,"4,00",Semarang,Alam,3000,"393X+VWX, Bandarharjo, Semarang City, Central Java, Indonesia",Baruna Beach
Tanah Lot,"https://www.google.com/maps/place/Tanah+Lot/@-8.6212118,115.0846145,17z/data=!4m5!3m4!1s0x2dd237824f71deab:0xcaabe270f7e34d69!8m2!3d-8.621213!4d115.086807","4,50",Bali,Budaya,75000,"Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121","is a rock formation off the Indonesian island of Bali. It is home to the ancient Hindu pilgrimage temple Pura Tanah Lot (literally ""Tanah Lot temple""), a popular tourist and cultural icon for photography"
Mount Batur,"https://www.google.com/maps/place/Mt+Batur/@-8.2401298,115.3774944,14z/data=!3m1!4b1!4m5!3m4!1s0x2dd1f403c8e8ee3f:0xd38045afa18670b4!8m2!3d-8.2401299!4d115.3774944","4,50",Bali,Alam,15000,"Bangli Regency, Bali, Indonesia",Mt Batur
Uluwatu Temple,"https://www.google.com/maps/place/Uluwatu+Temple/@-8.8293567,115.0851721,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd24ffc20cb8191:0xcb98d1ba7db0495!8m2!3d-8.8291432!4d115.0849069","4,50",Bali,Budaya,30000,"Uluwatu (South Kuta, Badung)",Uluwatu Temple
Ubud Monkey Forest,"https://www.google.com/maps/place/Sacred+Monkey+Forest+Sanctuary/@-8.5193727,115.2606299,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd23d43f6189b67:0xb6ec43164befc356!8m2!3d-8.5193727!4d115.2606299","4,50",Bali,Alam,80000,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",Sacred Monkey Forest Sanctuary
Goa Gajah,"https://www.google.com/maps/place/Goa+Gajah/@-8.5234022,115.2868531,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd216319e3e8cbb:0xcf6f85fcf798a545!8m2!3d-8.5234378!4d115.2871568","4,50",Bali,Budaya,50000,"Gianyar Regency, Bali",Goa Gajah
Jatiluwih Rice Terraces in Bali,"https://www.google.com/maps/place/Jatiluwih+Rice+Terraces/@-8.37031,115.131372,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd227ab020cd7fb:0x2f0f875ff3e6839a!8m2!3d-8.37031!4d115.131372","4,50",Bali,Alam,50000,"Village, Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152",Jatiluwih Rice Terraces
Tenggalang Rice Terrace,"https://www.google.com/maps/place/Tegallalang+Rice+Terrace/@-8.4340403,115.2792569,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd2220b23f900e3:0x8d1a8969386c04ed!8m2!3d-8.4340403!4d115.2792569","4,50",Bali,Alam,15000,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",Ceking Rice Terrace
Pura Ulun Danu Bratan,"https://www.google.com/maps/place/Ulun+Danu+Beratan+Temple/@-8.2751807,115.1668234,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd1896c9fac0857:0x18246568e4db1b53!8m2!3d-8.2751807!4d115.1668234","4,50",Bali,Budaya,40000,"Danau Beratan, Candikuning, Kec. Baturiti, Kabupaten Tabanan, Bali 82191",Ulun Danu Beratan Temple
Seminyak Beach,"https://www.google.com/maps/place/Seminyak+Beach/@-8.6899792,115.1562856,15z/data=!3m1!4b1!4m5!3m4!1s0x2dd2471c804bfd05:0xdcc2b5ae63dc9082!8m2!3d-8.6920123!4d115.1578837","4,50",Bali,Pantai,0,"Kuta, Badung Regency, Bali",Seminyak Beach
Nusa Dua Beach,"https://www.google.com/maps/place/Nusa+Dua+Beach/@-8.8004119,115.2360119,14z/data=!3m1!4b1!4m5!3m4!1s0x2dd242d6feba16fd:0x84a7328be1e50953!8m2!3d-8.8004121!4d115.2360119","4,50",Bali,Pantai,0,"Kuta, Badung Regency, Bali",Nusa Dua Beach
Besakih Temple (Pura Besakih),"https://www.google.com/maps/place/Besakih+Great+Temple/@-8.3738651,115.4522394,17z/data=!4m5!3m4!1s0x2dd21cbe3748b2b7:0xbfc39798cd1bb4a!8m2!3d-8.3738651!4d115.4522394","4,50",Bali,Sejarah,30000,"Besakih countryside, Rendang sub district, Karangasem regency, Bali",Besakih Great Temple
Kuta Beach,"https://www.google.com/maps/place/Kuta+Beach/@-8.7180325,115.1680346,15z/data=!3m1!4b1!4m5!3m4!1s0x2dd246bc2ab70d43:0x82feaae12f4ab48e!8m2!3d-8.7184926!4d115.1686322","4,50",Bali,Pantai,0,"Kuta District, Badung Regency, southern Bali",Kuta Beach
Pura Penataran Agung Lempuyang,"https://www.google.com/maps/place/Pura+Penataran+Agung+Lempuyang/@-8.3913794,115.6306937,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd2071753222893:0x40a0fd58fe779263!8m2!3d-8.3913712!4d115.630697","4,50",Bali,Sejarah,50000,"Jl. Pura Telaga Mas Lempuyang, Tri Buana, Kec. Abang, Kabupaten Karangasem, Bali 80852",Penataran Agung Lempuyang Temple
Sidemen Valley,"https://www.google.com/maps/place/Bali+Countryside+Sidemen/@-8.505544,115.3557232,12z/data=!4m10!1m2!2m1!1ssidemen+valley!3m6!1s0x2dd210f87453e769:0x6c3a2008aef6f898!8m2!3d-8.505544!4d115.425761!15sCg5zaWRlbWVuIHZhbGxleZIBEnRvdXJpc3RfYXR0cmFjdGlvbuABAA!16s%2Fg%2F11bwkgmsh7","4,50",Bali,Alam,0,Karangasem regency in East Bali,Bali Countryside Sidemen
Tirta Empul Temple,"https://www.google.com/maps/place/Pura+Tirta+Empul/@-8.4157038,115.3153042,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd218f4e06131b5:0x53a25a017714ecc1!8m2!3d-8.4158511!4d115.3150247","4,50",Bali,Sejarah,50000,"Jl. Tirta, Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",Pura Tirta Empul
West Bali National Park,"https://www.google.com/maps/place/West+Bali+National+Park/@-8.1276114,114.4731514,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd143657d50a467:0xc6efbc99a654d0b2!8m2!3d-8.1276114!4d114.4753401","4,50",Bali,Alam,20000,"Buleleng Regency, Bali, Indonesia",West Bali National Park
Garuda Wisnu Kencana Cultural Park,"https://www.google.com/maps/place/Garuda+Wisnu+Kencana+Cultural+Park/@-8.8104228,115.1675986,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd244cf54e1dec7:0x1988663e064f5a51!8m2!3d-8.8104228!4d115.1675986!16zL20vMGRyenpx?authuser=0&hl=en","4,50",Bali,Budaya,115000,"Uluwatu St, Ungasan, South Kuta, Badung Regency, Bali 80364",Garuda Wisnu Kencana Cultural Park
Bali Zoo,"https://www.google.com/maps/place/Bali+Zoo/@-8.5912638,115.2659161,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23e3e4361eea5:0x3bf4eb36bfd7c6be!8m2!3d-8.5912638!4d115.2659161!16s%2Fg%2F1tk_rlbg?authuser=0&hl=en","4,50",Bali,"Safari, Alam",355000,"Jl. Raya Singapadu, Singapadu, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",Bali Zoo
Bali Bird Park,"https://www.google.com/maps/place/Bali+Bird+Park/@-8.59998,115.25185,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23e4efac54c0f:0x5f8920acf656382c!8m2!3d-8.59998!4d115.25185!16s%2Fm%2F0_fn070?authuser=0&hl=en","4,50",Bali,"Safari, Alam",126000,"Jl. Serma Cok Ngurah Gambir Singapadu, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",Bali Bird Park
Tirta Gangga,"https://www.google.com/maps/place/Tirta+Gangga/@-8.4123473,115.5872919,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd24736f4379ad1:0x65af03b0d108a7d1!8m2!3d-8.4123473!4d115.5872919!16s%2Fm%2F09rv951?authuser=0&hl=en","4,50",Bali,Alam,70000,"Jalan Raya Abang Desa Adat, Ababi, Kec. Abang, Kabupaten Karangasem, Bali 80852",Tirta Gangga
Tegenungan Waterfall,"https://www.google.com/maps/place/Tegenungan+Waterfall/@-8.5753506,115.288777,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2161beebd0c61:0xc1ae79ddb8410c5e!8m2!3d-8.5753134!4d115.2887691!16s%2Fg%2F11bvx3j8m8?authuser=0&hl=en","4,50",Bali,Alam,20000,"Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80581",Tegenungan Waterfall
Bali Swing,"https://www.google.com/maps/place/Bali+Swing/@-8.4886834,115.2392541,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23d2bb78f98e5:0xdc87cb5e74348952!8m2!3d-8.4886742!4d115.2392573!16s%2Fg%2F11dxl6hnl9?authuser=0&hl=en","4,50",Bali,"Ekstrem, Wahana",500000,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 80352",
Waterboom Bali,"https://www.google.com/maps/place/Waterbom+Bali/@-8.7285745,115.1693743,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd246a3ee8f82df:0x1291d693f3407fa5!8m2!3d-8.7285759!4d115.1693786!16s%2Fg%2F1tdz276n?authuser=0&hl=en","4,50",Bali,"Air, Wahana, Anak",300000,"Jl. Kartika Plaza, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361",
Campuhan Ridge Walk,"https://www.google.com/maps/place/Campuhan+Ridge+Walk/@-8.5036172,115.2547038,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23d6bcaf473f5:0x7c13fd74aa1bc49f!8m2!3d-8.5036172!4d115.2547038!16s%2Fg%2F11bv_dhkhx?authuser=0&hl=en","4,50",Bali,Pantai,0,"Kelusa, Payangan, Jl. Raya Campuhan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",
Bali Safari and Marine Park,"https://www.google.com/maps/place/Bali+Safari+and+Marine+Park/@-8.580947,115.3452337,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd21446b81f7d39:0x34b39c786c2e54ec!8m2!3d-8.580947!4d115.3452337!16s%2Fm%2F0lkqtcl?authuser=0&hl=en","4,50",Bali,Pantai,150000,"Jl. Prof. Dr. Ida Bagus Mantra No.km 19, Serongga, Kec. Gianyar, Kabupaten Gianyar, Bali 80551",
Bajra Sandhi Monument,"https://www.google.com/maps/place/Bajra+Sandhi+Monument/@-8.6717348,115.233902,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd240f5b0baad2f:0xf67150ab4e009a2c!8m2!3d-8.6717348!4d115.233902!16s%2Fm%2F0n45qhz?authuser=0&hl=en","4,50",Bali,Sejarah,25000,"Jl. Raya Puputan No.142, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80234",
Sukawati Art Market,"https://www.google.com/maps/place/Sukawati+Art+Market/@-8.5965307,115.2826055,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23e28616c410d:0x960eaffe9f543e3c!8m2!3d-8.5965307!4d115.2826055!16s%2Fg%2F11gzm8537?authuser=0&hl=en","4,50",Bali,Pantai,50000,"Jalan Raya Sukawati, Sukawati, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",
Taman Ujung,"https://www.google.com/maps/place/Taman+Ujung/@-8.4630811,115.6306692,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd20876e3e79815:0xfc9ab3edaa5d11f2!8m2!3d-8.4630811!4d115.6306692!16s%2Fm%2F011l7bd6?authuser=0&hl=en","4,50",Bali,Sejarah,15000,"Ujung Water Palace, Tumbu, Kec. Karangasem, Kabupaten Karangasem, Bali 80811",
Secret Garden Village,"https://www.google.com/maps/place/Secret+Garden+Village/@-8.3726762,115.1933301,17z/data=!3m1!4b1!4m9!3m8!1s0x2dd2212ba32a0087:0xabd3c3b7c8f647ef!5m2!4m1!1i2!8m2!3d-8.3726794!4d115.1933311!16s%2Fg%2F11cjhzdxpb?authuser=0&hl=en","4,50",Bali,Alam,500000,"Jl. Raya Denpasar Bedugul km. 36, Mekarsari, Baturiti, Mekarsari, Tabanan, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191",
