Place_Id,Place_Name,Description,Category,City,Price,Rating,Link,Address
11,Pulau Bidadari,"Pulau Bidadari merupakan salah satu resor di Kabupaten Kepulauan Seribu, Jakarta. Sebelum bernama Pulau Bidadari, pulau ini memiliki dua nama yaitu Pulau Sakit dan Pulau Purmerend",Bahari,Jakarta,5000,46,"https://www.google.com/maps/place/Pulau+Bidadari,+Jakarta/@-6.0358325,106.7263443,14z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1b3ffe6c380d:0xc01d32db3294d65e!8m2!3d-6.035833!4d106.746944!16s%2Fg%2F1224tgk2?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
12,Pulau Pari,"Pulau Pari adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia.",Bahari,Jakarta,150000,40,"https://www.google.com/maps/place/Pulau+Pari,+Kec.+Kepulauan+Seribu+Sel.,+Kab.+Administrasi+Kepulauan+Seribu,+Daerah+Khusus+Ibukota+Jakarta/@-5.9031624,106.4947181,12z/data=!3m1!4b1!4m6!3m5!1s0x2e6a098144941dfb:0x8bcd2d9f15d1d467!8m2!3d-5.9074328!4d106.5863989!16s%2Fg%2F120_4kzl?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
13,Pulau Pramuka,Pulau Pramuka merupakan salah satu pulau yang berada dalam gugusan Kepulauan Seribu. Pulau ini merupakan pusat administrasi dan pemerintahan Kabupaten Administrasi Kepulauan Seribu. Pulau Pramuka termasuk ke dalam wilayah Kelurahan Pulau Panggang.,Bahari,Jakarta,5000,42,"https://www.google.com/maps/place/Pulau+Pramuka/@-5.7456185,106.6086322,16z/data=!3m1!4b1!4m6!3m5!1s0x2e6a741083646505:0x203676af753ec0cf!8m2!3d-5.745962!4d106.6136577!16s%2Fm%2F0h64dsl?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
14,Pulau Pelangi,"Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia. Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia, Pulau Pelangi / biasa disebut Pulau Petondan Besar ( Pelangi Island ) merupakan pulau resort yang sesuai untuk berlibur. Pulau Resort ini mempunyai konsep natural, karena sebagian wilayahnya di penuhi dengan rerimbunan pohon yang menyejukan mata, Keindahan alam dan lautnya layak untuk dikunjungi. Dikelilingi oleh rimbunan pohon dan laut berwarana biru jernih membuat suasanan sejuk dan nyaman. Kondisi yang ideal untuk wisata bersama keluarga. Dengan akomodasi yang langsung menghadap ke laut membuat turis betah berlama-lama di Pulau Pelangi.\nMenurut informasi, Pulau Pelangi atau Pulau Petondan Besar merupakan pulau yang berada pada gugusan Kepulauan Seribu. Secara administratif termasuk dalam wilayah Kabupaten Administratif Kepulauan Seribu provinsi DKI Jakarta. Bersamaan dengan Pulau Petondan Kecil merupakan sebuah resort berlibur. Letaknya berdekatan dengan gugusan yang sama dengan Pulau Kelor dan Pulau Kelapa.\nUntuk mencapai Pelangi Resort dibutuhkan waktu 90 menit perjalanan dari dermaga Pantai Mutiara. Terdapat kapal speedboat khusus di pier R1 Pantai Mutiara yang membawa penumpang kesana. Letaknya 60 – 70 km dari Pantai Mutiara memang lumayan jauh. Namun perjalanan anda terbayar lunas begitu sampai di Pulau Pelangi.",Bahari,Jakarta,900000,48,"https://www.google.com/maps/place/Pulau+Pelangi/@1.0530555,103.7941225,14z/data=!3m1!4b1!4m6!3m5!1s0x31d9f18edca153e7:0xb38b11b366441451!8m2!3d1.0530556!4d103.8147222!16s%2Fg%2F11bvvyd45h?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
15,Pasar Seni,"Pasar Seni merupakan Pusat kerajinan dan kesenian yang menjadi wadah bagi seniman berbakat untuk menyalurkan kerajinan seni yang mereka miliki. Seniman dapat bertemu dengan para kolektor seni dan pengusaha untuk saling berbagi informasi dan memasarkan produk yang dimiliki. Didirikan awal tahun 1977, dengan peletakan batu pertama oleh Bang Ali Sadikin, Gubernur pertama DKI Jakarta, tepatnya pada bulan Juli 1977. Dan diresmikan oleh Gubernur H. Tjokropanolo pada tanggal 17 Desember 1977. Sejak diresmikan Pasar Seni, mendapat sambutan positif bagi pada pecinta seni yang ada.",Pusat Perbelanjaan,Jakarta,0,44,"https://www.google.com/maps/place/Pasar+Seni/@-6.1264924,97.6104361,6z/data=!4m10!1m2!2m1!1sPasar+Seni!3m6!1s0x2e6a1e184ec2b8f3:0x8fd2a44632896350!8m2!3d-6.1264924!4d106.8389517!15sCgpQYXNhciBTZW5pWgwiCnBhc2FyIHNlbmmSAQphcnRfY2VudGVy4AEA!16s%2Fg%2F11f4v4yjc0?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
16,Jembatan Kota Intan,"Jembatan Kota Intan adalah jembatan tertua di Indonesia yang dibangun pada tahun 1628 oleh pemerintah Vereenigde Oostindische Compagnie atau VOC, atau masyarakat kita lebih familiar dengan sebutan Kumpeni. Jembatan itu kini terletak di Kali Besar kawasan Kota Tua wilayah Jakarta Barat dan berada di bawah pengelolaan Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta.",Budaya,Jakarta,0,43,"https://www.google.com/maps/place/Jembatan+Kota+Intan/@-6.1312362,106.8079777,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1df9609fa091:0xebe202d2c666bf21!8m2!3d-6.1312362!4d106.8105526!16s%2Fg%2F11cmh5vrbw?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
17,Museum Fatahillah,"Museum Fatahillah memiliki nama resmi Museum Sejarah Jakarta adalah sebuah museum yang terletak di Jalan Taman Fatahillah No. 1, Jakarta Barat dengan luas lebih dari 1.300 meter persegi.\nBangunan ini dahulu merupakan balai kota Batavia (bahasa Belanda: Stadhuis van Batavia) yang dibangun pada tahun 1707-1710 atas perintah Gubernur-Jendral Joan van Hoorn. Bangunan ini menyerupai Istana Dam di Amsterdam, terdiri atas bangunan utama dengan dua sayap di bagian timur dan barat serta bangunan sanding yang digunakan sebagai kantor, ruang pengadilan, dan ruang-ruang bawah tanah yang dipakai sebagai penjara. Pada tanggal 30 Maret 1974, bangunan ini kemudian diresmikan oleh bapak Ali Sadikin sebagai Museum Sejarah Jakarta.",Sejarah,Jakarta,5000,44,"https://www.google.com/maps/place/Museum+Sejarah+Jakarta/@-6.134565,106.8101201,17z/data=!4m10!1m2!2m1!1sMuseum+Fatahillah!3m6!1s0x2e6a1dff4292a57d:0x12f0032d678c0745!8m2!3d-6.1352!4d106.8133!15sChFNdXNldW0gRmF0YWhpbGxhaFoTIhFtdXNldW0gZmF0YWhpbGxhaJIBDmhpc3RvcnlfbXVzZXVt4AEA!16s%2Fm%2F05b1p21?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
18,Museum Bank Indonesia,"Museum Bank Indonesia adalah sebuah museum di Jakarta, Indonesia yang terletak di Jl. Pintu Besar Utara No.3, Jakarta Barat (depan stasiun Beos Kota), dengan menempati area bekas gedung Bank Indonesia Kota yang merupakan cagar budaya peninggalan De Javasche Bank yang beraliran neo-klasikal, dipadu dengan pengaruh lokal, dan dibangun pertama kali pada tahun 1828.\nPada tahun 1625, di tempat ini pernah dibangun sebuah gereja sederhana untuk umat Protestan. Pada tahun 1628, gereja ini dibongkar karena digunakan untuk tempat meriam besar ketika puluhan ribu tentara Sultan Agung menyerang Batavia untuk pertama kali.Museum ini menyajikan informasi peran Bank Indonesia dalam perjalanan sejarah bangsa yang dimulai sejak sebelum kedatangan bangsa barat di Nusantara hingga terbentuknya Bank Indonesia pada tahun 1953 dan kebijakan-kebijakan Bank Indonesia, meliputi pula latar belakang dan dampak kebijakan Bank Indonesia bagi masyarakat sampai dengan tahun 2005. Penyajiannya dikemas sedemikian rupa dengan memanfaatkan teknologi modern dan multi media, seperti display elektronik, panel statik, televisi plasma, dan diorama sehingga menciptakan kenyamanan pengunjung dalam menikmati Museum Bank Indonesia. Selain itu terdapat pula fakta dan koleksi benda bersejarah pada masa sebelum terbentuknya Bank Indonesia, seperti pada masa kerajaan-kerajaan Nusantara, antara lain berupa koleksi uang numismatik yang ditampilkan juga secara menarik.\nPeresmian Museum Bank Indonesia dilakukan melalui dua tahap, yaitu peresmian tahap I dan mulai dibuka untuk masyarakat (soft opening) pada tanggal 15 Desember 2006 oleh Gubernur Bank Indonesia saat itu, Burhanuddin Abdullah, dan peresmian tahap II (grand opening) oleh Presiden RI Susilo Bambang Yudhoyono, pada tanggal 21 Juli 2009.\nMuseum Bank Indonesia buka setiap hari kecuali Senin dan hari libur nasional.",Sejarah,Jakarta,2000,47,"https://www.google.com/maps/place/Museum+Bank+Indonesia/@-6.1371066,106.8104097,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f601eb6b390f:0x6dd4776b240168a3!8m2!3d-6.1371066!4d106.8129846!16s%2Fg%2F112yfv12s?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
19,Kidzania Jakarta,"KidZania adalah sebuah waralaba swasta Meksiko berupa pusat hiburan keluarga yang saat ini beroperasi di 23 lokasi, yang memungkinkan anak-anak melakukan pekerjaan orang dewasa dan mendapat bayaran. KidZania telah dikunjungi oleh lebih dari 31 juta pengunjung di seluruh dunia sejak pembukaannya, menjadikannya salah satu merek hiburan global yang paling cepat berkembang di dunia.",Taman Hiburan,Jakarta,185000,46,"https://www.google.com/maps/place/KidZania+Jakarta/@-6.2250735,106.8071395,17z/data=!3m2!4b1!5s0x2e69f15111ebc3fb:0xdd517b6a107fa15c!4m6!3m5!1s0x2e69f1510ffe98ed:0xc9aa1813b2c14c4c!8m2!3d-6.2250735!4d106.8097144!16s%2Fg%2F121xqmbm?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
20,Museum Taman Prasasti,"Museum Taman Prasasti adalah sebuah museum cagar budaya peninggalan masa kolonial Belanda yang berada di Jalan Tanah Abang No. 1, Jakarta Pusat. Museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di Indonesia, beserta koleksi kereta jenazah antik. Museum seluas 1,2 ha ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan para pematung, pemahat, kaligrafer dan sastrawan yang menyatu.",Budaya,Jakarta,2000,45,"https://www.google.com/maps/place/Museum+Prasasti+Jakarta/@-6.172452,106.817194,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5d5d956ed99:0x90970858c9aba297!8m2!3d-6.172452!4d106.8197689!16s%2Fm%2F0b777jc?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
21,Museum Wayang,"Museum Wayang adalah sebuah museum yang berlokasi di Jalan Pintu Besar Utara Nomor 27, Jakarta Barat.",Budaya,Jakarta,5000,45,"https://www.google.com/maps/place/Museum+Wayang/@-6.1349072,106.8098703,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1dff48f259ff:0xfeb6bfd7e15db853!8m2!3d-6.1349072!4d106.8124452!16s%2Fm%2F09v3972?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
22,Masjid Istiqlal,"Masjid Istiqlal (arti harfiah: Masjid Merdeka) adalah masjid nasional negara Republik Indonesia yang terletak di bekas Taman Wilhelmina, di Timur Laut Lapangan Medan Merdeka yang di tengahnya berdiri Monumen Nasional (Monas), di pusat ibukota Jakarta. Masjid ini merupakan salah satu dari 10 masjid terbesar kapasitasnya di dunia yang dapat menampung lebih dari 200.000 jamaah. Di seberang Timur masjid ini berdiri Gereja Katedral Jakarta. Ketua Harian Badan Pengelola Masjid Istiqlal (BPMI) sekaligus Imam Besar Masjid Istiqlal adalah Prof. Dr. Nasaruddin Umar, M.A. Pembangunan masjid ini diprakarsai oleh Presiden Republik Indonesia saat itu, Ir. Soekarno. Peletakan batu pertama sebagai tanda dimulainya pembangunan Masjid Istiqlal dilakukan oleh Ir. Soekarno pada tanggal 24 Agustus 1961. Arsitek Masjid Istiqlal adalah Frederich Silaban, seorang Nasrani.Masjid ini memiliki gaya arsitektur modern dengan dinding dan lantai berlapis marmer, dihiasi ornamen geometrik dari baja antikarat. Bangunan utama masjid ini terdiri dari lima lantai dan satu lantai dasar. Bangunan utama itu dimahkotai satu kubah besar berdiameter 45 meter yang ditopang 12 tiang besar. Menara tunggal setinggi total 96,66 meter menjulang di sudut Selatan selasar masjid. Masjid ini mampu menampung lebih dari 200.000 jamaah.Selain digunakan sebagai aktivitas ibadah umat Islam, masjid ini juga digunakan sebagai kantor berbagai organisasi Islam di Indonesia, aktivitas sosial, dan kegiatan umum. Masjid ini juga menjadi salah satu daya tarik wisata yang terkenal di Jakarta. Kebanyakan wisatawan yang berkunjung umumnya wisatawan domestik di samping sebagian wisatawan asing yang beragama Islam. Masyarakat non-Muslim juga dapat berkunjung ke masjid ini setelah sebelumnya mendapat pembekalan informasi mengenai Islam dan Masjid Istiqlal, meskipun bagian yang boleh dikunjungi kaum non-Muslim terbatas dan harus didampingi pemandu.\nPada tiap hari besar Islam seperti Ramadhan, Idul Fitri, Idul Adha, Tahun Baru Hijriyah, Maulid Nabi Muhammad serta Isra dan Mi'raj, Presiden Republik Indonesia selalu mengadakan kegiatan keagamaan di masjid ini yang disiarkan secara langsung melalui televisi nasional (TVRI) dan sebagian televisi swasta.",Religi,Jakarta,0,47,"https://www.google.com/maps/place/Masjid+Istiqlal/@-6.17017,106.8288151,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5ce68b5e01d:0xcafaf042d5840c6c!8m2!3d-6.17017!4d106.83139!16zL20vMDRzam1q?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
23,Gereja Katedral,"Gereja Katedral Jakarta, atau bernama resmi Gereja Santa Maria Diangkat Ke Surga (bahasa Jerman: De Kerk van Onze Lieve Vrouwe ten Hemelopneming; bahasa Inggris: The Church of Our Lady of the Assumption) adalah sebuah gereja di Jakarta. Gedung gereja ini diresmikan pada 1901 dan dibangun dengan arsitektur neo-gotik dari Eropa, yakni arsitektur yang sangat lazim digunakan untuk membangun gedung gereja beberapa abad yang lalu.",Religi,Jakarta,0,48,"https://www.google.com/maps/place/Katedral+Jakarta,+Santa+Maria+Diangkat+ke+Surga/@-6.1691893,106.8283423,17z/data=!4m10!1m2!2m1!1sGereja+Katedral!3m6!1s0x2e69f5cef86e21ad:0x3ecfda74692fc79!8m2!3d-6.1691893!4d106.8328484!15sCg9HZXJlamEgS2F0ZWRyYWxaESIPZ2VyZWphIGthdGVkcmFskgESY2F0aG9saWNfY2F0aGVkcmFs4AEA!16s%2Fm%2F02r7yts?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
24,Museum Nasional Indonesia,"Museum Nasional Republik Indonesia atau Museum Gajah, adalah sebuah museum arkeologi, sejarah, etnografi, dan geografi yang terletak di Jakarta Pusat dan persisnya di Jalan Merdeka Barat 12. Museum ini merupakan museum pertama dan terbesar di Asia Tenggara.",Sejarah,Jakarta,5000,46,"https://www.google.com/maps/place/Museum+Nasional+Indonesia/@-6.1764021,106.8035657,15z/data=!4m10!1m2!2m1!1sMuseum+Nasional!3m6!1s0x2e69f5d4b571f28b:0xa41541566f6058ed!8m2!3d-6.1764021!4d106.8215901!15sCg9NdXNldW0gTmFzaW9uYWxaESIPbXVzZXVtIG5hc2lvbmFskgEGbXVzZXVt4AEA!16s%2Fm%2F027vccr?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
